model,split,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp
random_forest,validation,0.7767281618137364,0.5144898769352918,0.622478386167147,0.5633557922190828,0.4185872143221014,0.81293332533284,0.552035447596361,5693,1223,786,1296
random_forest,test,0.7593333333333333,0.3470178156467854,0.6511627906976745,0.45275391611925214,0.3421451316252037,0.79649375480429,0.4002857643991575,5938,1686,480,896
xgboost,validation,0.7387197154923316,0.4596943362301468,0.7367915465898175,0.5661561173648274,0.41565575952486944,0.8165819531093307,0.566291969088328,5113,1803,548,1534
xgboost,test,0.7087777777777777,0.3150074294205052,0.7703488372093024,0.4471630457709344,0.3481128927187915,0.8029167759706192,0.40492996764180467,5319,2305,316,1060
