model,4A_F1,4B1_F1,delta_F1,4A_MCC,4B1_MCC,delta_MCC,4A_ROC_AUC,4B1_ROC_AUC,delta_ROC_AUC,4A_PR_AUC,4B1_PR_AUC,delta_PR_AUC
Random Forest,0.4244,0.45275391611925214,0.028353916119252143,0.304189,0.3421451316252037,0.037956131625203726,0.777167,0.79649375480429,0.019326754804289914,0.367648,0.4002857643991575,0.0326377643991575
XGBoost,0.449094,0.4471630457709344,-0.0019309542290655846,0.348532,0.3481128927187915,-0.0004191072812085306,0.80373,0.8029167759706192,-0.0008132240293808879,0.403761,0.40492996764180467,0.0011689676418046857
