n_components,fit_seconds,explained_variance_ratio,train_reconstruction_mse,test_reconstruction_mse,compression_ratio,status
768,0.6104743000178132,1.0,1.322119327809134e-15,1.257169264930148e-15,1.0,ok
512,0.7569154999800958,0.9991026520729065,4.328132490627468e-06,1.2151439477747772e-05,1.5,ok
384,0.5996557000034954,0.9967691898345947,1.5582238120259717e-05,3.267004285589792e-05,2.0,ok
256,0.7293597999960184,0.9884070754051208,5.5912511015776545e-05,9.15619166335091e-05,3.0,ok
