model,f1,mcc,roc_auc,pr_auc
Hybrid_random_forest,0.4244001156403585,0.30418883155781073,0.777166877775812,0.3676481564319586
Hybrid_xgboost,0.44909404659188956,0.3485320031716471,0.8037298829888481,0.4037612908475629
JIT_only_XGBoost,0.42214,0.312212,0.780634,0.380177
CodeBERT_only_XGBoost,0.361934,0.218608,0.713371,0.278263
