hybrid_model,delta_f1_vs_jit,delta_mcc_vs_jit,delta_roc_auc_vs_jit,delta_pr_auc_vs_jit,delta_f1_vs_codebert,delta_mcc_vs_codebert,delta_roc_auc_vs_codebert,delta_pr_auc_vs_codebert
random_forest,0.0022601156403584954,-0.008023168442189255,-0.0034671222241881017,-0.012528843568041403,0.06246611564035853,0.08558083155781074,0.06379587777581197,0.0893851564319586
xgboost,0.026954046591889547,0.03632000317164713,0.023095882988848015,0.023584290847562916,0.08716004659188958,0.12992400317164712,0.09035888298884809,0.12549829084756292
