model,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_roc_auc,test_pr_auc
random_forest,0.7423333333333333,0.3225442228076778,0.6228197674418605,0.42499380114059016,0.3051109460264328,0.7719485513921766,0.3615818475535976
xgboost,0.6871111111111111,0.2949886104783599,0.752906976744186,0.4238952536824877,0.3158677435546817,0.7814285880420458,0.3825054921055383
lightgbm,0.6807777777777778,0.2927166989753531,0.7681686046511628,0.4239021455785041,0.3180497489394436,0.7832030773383929,0.3825637273760997
