model,comparison,delta_f1,delta_mcc,delta_roc_auc,delta_pr_auc
Random Forest,4B2_vs_4A,0.034956799189668264,0.04677057986185995,0.018553206920007836,0.02752481164569298
Random Forest,4B2_vs_4B1,0.006602799189668274,0.008814579861859961,-0.0007737930799921466,-0.005113188354307019
XGBoost,4B2_vs_4A,0.000727165579633926,0.0039015148471082117,-0.0009221784633595131,-0.008954771693726049
XGBoost,4B2_vs_4B1,0.002658165579633942,0.004320514847108214,-0.00010917846335944947,-0.01012377169372608
