model,split,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp
random_forest,validation,0.7768392976216937,0.5149434571890146,0.6123919308357348,0.5594559017112769,0.41429151736690084,0.8131127461193439,0.5498641166443914,5715,1201,807,1275
random_forest,test,0.7627777777777778,0.352506801399145,0.659156976744186,0.45935679918966826,0.35095957986185994,0.7957202069200079,0.39517281164569296,5958,1666,469,907
xgboost,validation,0.75083351855968,0.47555012224938875,0.7473583093179635,0.5812476652969742,0.43766637070575715,0.8259802410037509,0.5781229977494429,5200,1716,526,1556
xgboost,test,0.7094444444444444,0.31655315368670417,0.7768895348837209,0.4498211655796339,0.3524335148471082,0.8028078215366405,0.39480622830627393,5316,2308,307,1069
