model,n_features,n_jit_features,n_llm_features,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_mcc,validation_roc_auc,validation_pr_auc,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_roc_auc,test_pr_auc
random_forest,63,12,51,0.7482773949766615,0.4639905548996458,0.5662824207492796,0.5100584036340039,0.3460075839650146,0.7742526414128872,0.5046354793896386,0.7394444444444445,0.3161290322580645,0.6053779069767442,0.41535776614310643,0.29185015075703097,0.7691939011444886,0.3543553420753172
xgboost,63,12,51,0.7168259613247389,0.4315913094539049,0.7060518731988472,0.5357142857142857,0.3705059374416967,0.7846516160163209,0.5285356534678193,0.6885555555555556,0.29491233112963494,0.7456395348837209,0.4226570545829042,0.3132710220485806,0.7779612537824252,0.3811888501073205
