split,model,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc
validation,RF,0.7705045565681262,0.5039333641832485,0.5230547550432276,0.5133160499646476,0.36334292003392366,0.7851522718900998,0.5040796978641733
validation,XGB,0.7549455434541009,0.4804077731761708,0.7243035542747358,0.577667113579774,0.432216697086091,0.8239633110708494,0.5750844838268154
validation,LGBM,0.7412758390753501,0.4631294964028777,0.7420749279538905,0.5703211517165006,0.4218092661472835,0.8201638406590629,0.5708495009122979
test,RF,0.7685555555555555,0.34596949891067535,0.5770348837209303,0.4325796785616998,0.3138863752020715,0.7751352064472047,0.35893400648967005
test,XGB,0.7144444444444444,0.31898120072771374,0.7645348837209303,0.4501497646555413,0.35099675220138554,0.8021862188559995,0.39508075188467434
test,LGBM,0.7006666666666667,0.30920671685002893,0.7761627906976745,0.4422360248447205,0.34278483051716113,0.8027234604919593,0.3989258082353553
test,BLEND,0.7181111111111111,0.3218778766492789,0.7623546511627907,0.4526429341963323,0.35379253087713997,0.8030653848617584,0.3958299514129595
