split,model,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc
validation,RF,0.7673927539453211,0.49750792931581334,0.5273775216138329,0.5120074609466077,0.3597453052213575,0.7836087392055844,0.5065588507674601
validation,XGB,0.7538341853745276,0.4788553259141494,0.723342939481268,0.5762387602831452,0.43015280770797093,0.8231969096427614,0.574051651324659
validation,LGBM,0.7403867526116915,0.46202153110047844,0.7420749279538905,0.5694802801326945,0.4205928934237753,0.8213282180178888,0.568256815954351
test,RF,0.765,0.33983528391850887,0.5697674418604651,0.42573988596253054,0.3049806799290292,0.7741097669690573,0.3637275919692581
test,XGB,0.7172222222222222,0.3214176596394745,0.7645348837209303,0.45257044525704454,0.354017974394178,0.8025520216909882,0.40051428691035335
test,LGBM,0.7005555555555556,0.31043403276803677,0.7848837209302325,0.44490216271884653,0.3475083230143801,0.8033568832511774,0.39928177120999475
test,BLEND,0.718,0.3223241590214067,0.7659883720930233,0.4537236332328885,0.35566590398355435,0.8046320218892603,0.4026800170201461
