experiment,split,model,n_features,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp
4C,validation,Random Forest,25,0.7679484329851078,0.49876948318293685,0.5840537944284342,0.5380530973451327,0.38652685062861886,0.7974259801576653,0.5324876430790553,5694,1222,866,1216
4C,test,Random Forest,25,0.7561111111111111,0.33947471579772637,0.6293604651162791,0.4410491469314999,0.32608403854666335,0.7880909657995558,0.38055737844025556,5939,1685,510,866
4C,validation,XGBoost,25,0.7310513447432763,0.4486322188449848,0.7089337175792507,0.5495160089352197,0.39110090557274085,0.8005413111586324,0.5428042932001982,5102,1814,606,1476
4C,test,XGBoost,25,0.6994444444444444,0.30666278731451846,0.7659883720930233,0.43798046956160397,0.3358611025789131,0.7916017197833036,0.3915580372213499,5241,2383,322,1054
