model,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_roc_auc,test_pr_auc
random_forest,0.761,0.3171307220386975,0.4883720930232558,0.384549356223176,0.2532592589553586,0.7329798494350764,0.30448244417474973
xgboost,0.6986666666666667,0.29344465058750774,0.6896802325581395,0.41171366594360087,0.29249819503397684,0.7625530664334171,0.3388934112849945
