feature,importance
complexity_confidence,0.07617154322762097
complexity_margin,0.07115179087728185
scope_confidence,0.06595875825195487
scope_margin,0.0642028891662016
security_confidence,0.05882759465577029
risk_confidence,0.05842532356203073
security_margin,0.05829676425348836
change_confidence,0.057857770107818694
test_confidence,0.05683337082220298
intent_confidence,0.05647452500313208
risk_margin,0.05616538439010548
intent_margin,0.05611917426278738
change_margin,0.055835668216514485
test_margin,0.05568285079644037
complexity_M,0.009280037447889335
scope_M,0.008678617437733283
intent_BF,0.008590582405174976
security_N,0.008020532544893055
change_OT,0.007296455473351755
intent_SC,0.006074300086658702
test_M,0.0058133753090081385
security_M,0.005453746885968349
change_LG,0.005366489517469473
risk_M,0.005086117865093708
intent_FT,0.004535078164911835
complexity_L,0.004267559396673561
intent_TS,0.0041315058469522355
test_L,0.0037990376781066805
intent_BL,0.003683100500630602
intent_RF,0.0035944003902130175
intent_OT,0.003561084849371896
change_TS,0.003511576336677232
risk_H,0.0034509844364530137
change_AP,0.003366514761740196
change_UI,0.0032472151594449563
test_H,0.003136971303001032
security_L,0.0030956076951705333
test_N,0.003015721694690106
intent_DC,0.0029643880009381546
scope_L,0.002808498969682268
scope_C,0.0027756716742954506
change_CF,0.002755716860786881
risk_L,0.002736342667683278
scope_F,0.0027299628350330755
complexity_H,0.0026137813893910545
change_DC,0.0025305502720721247
intent_PF,0.0025255464440939067
security_H,0.002514761710038726
change_DA,0.0021586974036956947
change_BL,0.0016562778397548532
change_DP,0.0011697831519067734
