experiment,model,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp
4D,JIT — Random Forest,0.7402222222222222,0.3178030303030303,0.6097383720930233,0.41782868525896416,0.29523861025220843,0.7681386255002562,0.36505642629764634,5823,1801,537,839
4D,CodeBERT — Random Forest,0.814,0.3306818181818182,0.21148255813953487,0.2579787234042553,0.16263711264121505,0.6986998104211914,0.26694494595850005,7035,589,1085,291
4D,JIT — XGBoost,0.6891111111111111,0.29486439699942296,0.7427325581395349,0.4221396117306898,0.3122122809151618,0.7806342596970399,0.3801765867911528,5180,2444,354,1022
4D,CodeBERT — XGBoost,0.6744444444444444,0.2583955223880597,0.6039244186046512,0.36193379790940766,0.2186077188151032,0.7133712446466484,0.27826295156200487,5239,2385,545,831
4D,Stacking — Logistic Regression,0.6818888888888889,0.29624554672513015,0.7856104651162791,0.43024875621890546,0.3289494558532908,0.7897678917860368,0.3765902084693867,5056,2568,295,1081
