feature,importance
la,0.05815916113362277
ld,0.028268282924812548
nf,0.02526183110565838
nd,0.020758219173233193
ent,0.016238812491820326
arexp,0.013942269368557676
aexp,0.01193780912227499
pca_77,0.00952150062821425
asexp,0.006909863749285201
pca_19,0.0068704726703404965
ns,0.006616515252312981
age,0.006288310188411517
pca_102,0.005811115228170893
nuc,0.005510281265615157
pca_272,0.005394149643304209
pca_18,0.0049315303965977945
pca_97,0.004358650053206905
pca_350,0.004230861668129768
pca_278,0.004054018945993277
pca_51,0.0038783775011831394
pca_82,0.0036846010082951085
pca_236,0.0036761449256135863
pca_8,0.0036748493969335333
pca_241,0.003638912961795599
pca_10,0.0036366842587660787
pca_5,0.003549337233279738
pca_171,0.003530946129410116
pca_4,0.003505352719230672
pca_192,0.0033555994531573614
pca_120,0.0033179568992994
pca_148,0.0031309837102160725
pca_22,0.0031157512425489036
pca_129,0.0030539698901883142
pca_99,0.0030253693035438055
pca_112,0.002957775580422141
pca_100,0.002942530150017729
pca_39,0.002926997007214466
pca_74,0.0029096950149124045
pca_86,0.0028735852383960365
pca_231,0.0028286451967245944
pca_134,0.002824150845978305
pca_38,0.0028159255408675044
pca_162,0.002812178432589121
pca_174,0.0027571199090551286
ndev,0.0027395069261064897
pca_308,0.002737693372899489
pca_135,0.002688977886409483
pca_325,0.0026578181481141435
pca_125,0.0026480652466762482
pca_194,0.0026184172103231674
pca_114,0.0026146490653026115
pca_92,0.0025981050270870248
pca_326,0.002586294486274218
pca_373,0.002580920536597367
pca_127,0.002573295233633864
pca_346,0.0025701413647001214
pca_281,0.002555148931341901
pca_45,0.0025379756754911748
pca_54,0.002518485548254988
pca_17,0.0025149643589395597
pca_28,0.0025141522463339922
pca_297,0.0025090826963790115
pca_14,0.0025061097656826404
pca_191,0.002499488835743947
pca_21,0.002492290564620644
pca_340,0.0024911204076196554
pca_376,0.0024808652063252647
pca_371,0.002470256295544458
pca_110,0.0024583524417828005
pca_41,0.0024565532063693866
pca_53,0.002456165456747582
pca_180,0.002454590447270256
pca_271,0.002426046527641988
pca_291,0.0024228179040841663
pca_280,0.0024222733701602496
pca_235,0.0024056271795228653
pca_89,0.002405146231335128
pca_312,0.0023926242107026015
pca_133,0.002388109825983917
pca_319,0.0023706062109318023
pca_208,0.0023635376869557932
pca_228,0.0023511689683900928
pca_1,0.002340696103651949
pca_229,0.0023309797921084187
pca_366,0.0023187866018455103
pca_343,0.0023151535217972624
pca_36,0.0023093533247787587
pca_232,0.0023077281936756534
pca_24,0.0023073136131861655
pca_359,0.0022889286707434633
pca_11,0.002283104527840759
pca_165,0.002278517684019947
pca_153,0.0022646842966737198
pca_66,0.0022580653222982606
pca_284,0.0022522311236709974
pca_87,0.002252143607660137
pca_197,0.0022487941004865498
pca_72,0.002245428291072349
pca_142,0.002237117293998421
pca_260,0.002227864441675772
pca_345,0.0022214073941960234
pca_357,0.0022199577343201137
pca_215,0.002217633473285697
pca_161,0.002209240191776682
pca_256,0.0022064184659114196
pca_323,0.0022052539938173976
pca_279,0.002203944310183186
pca_179,0.0022026754047036814
pca_47,0.00219692530354475
pca_377,0.0021920320855458295
pca_187,0.0021845577581582408
pca_364,0.0021791407860217147
pca_69,0.0021745083877236127
pca_67,0.0021737692961866866
pca_358,0.0021726314174652078
pca_348,0.002170232781999796
pca_147,0.0021686078283804262
pca_31,0.002167376092041651
pca_188,0.002164547759136945
pca_146,0.0021636018970294826
pca_55,0.0021575529674207746
pca_283,0.0021574347127153192
pca_202,0.0021542254134768344
pca_26,0.002152729457915626
pca_34,0.0021509931132553655
pca_6,0.0021485963208056364
pca_240,0.002147758261157126
pca_334,0.0021438831062123155
pca_37,0.002138818062026911
pca_185,0.002135365397397021
pca_35,0.002133355709736479
pca_50,0.002133014375069719
pca_207,0.0021274777728671184
pca_282,0.002126426238159225
pca_88,0.002125355118767574
pca_298,0.002119427992493428
pca_379,0.002117065754429272
pca_63,0.0021148789821125082
