split,year,count,buggy_rate,intent_confidence_mean,intent_margin_mean,change_confidence_mean,change_margin_mean,risk_confidence_mean,risk_margin_mean,complexity_confidence_mean,complexity_margin_mean,scope_confidence_mean,scope_margin_mean,test_confidence_mean,test_margin_mean,security_confidence_mean,security_margin_mean
train,1970,25201,0.22653862941946748,60.48240863706585,43.450110500973494,63.595275009959,44.446199631810444,75.58655803485203,56.47878921774371,80.39430344689285,65.60103762996008,78.39038974666425,66.48999459698143,66.8608303934482,46.88016091164029,69.45376999966236,50.34099851546411
train,-1,16797,0.369292135500387,66.88530853924925,52.46915923064576,69.24156069705874,49.38328371690364,76.02221502138971,55.16129990855221,85.33296726012844,73.09328643876243,86.7597178956288,78.80331530750965,71.32874333788229,52.94244737018536,73.61675335135695,55.47203921199008
validation,1970,5398,0.17450907743608743,61.34238973309615,44.66823702909276,63.03736821104086,43.60617902647482,75.33840499859733,56.0925619497967,80.2909189808276,65.43521859516432,78.08526268752692,65.820549584155,66.47769183627143,46.34731041005957,69.33854666130328,50.191347560216954
validation,-1,3600,0.31666666666666665,66.34034373362859,51.36474865964718,68.73019118772612,48.98052671634488,76.80295875254605,56.651917691859936,85.68560484051704,73.70055469208293,86.67044437262747,78.60658979664247,71.11373338931136,52.52301620733407,74.23432426899672,56.54796601873305
test,1970,5401,0.10609146454360303,61.30929507688998,44.67191941521605,63.29796565912141,43.783803614002316,75.27707369156269,55.83796988778855,80.70459694382086,66.12427622063295,78.11001307311885,65.79400943293878,66.51146087386479,46.45082395957633,69.61206812159791,50.65925088172223
test,-1,3599,0.22311753264795778,66.41405653658758,51.78046317755033,68.4271872209224,48.68763588466191,76.0299437872136,55.3340348254379,84.86135382641021,72.27654513898045,86.03560738130953,77.74089419508881,70.85076845927713,52.04456146722636,73.2584854519079,55.07761340657682
