experiment,model,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,jit_weight,codebert_weight
4E,RF Probability Blend,0.7468888888888889,0.3236903831118061,0.6017441860465116,0.42094560244026435,0.2990703949280966,0.7706155992246029,0.3699310965965493,5894,1730,548,828,0.9,0.09999999999999998
4E,XGBoost Probability Blend,0.7078888888888889,0.3108964684575913,0.748546511627907,0.43932608232032416,0.3351111459424867,0.7895735754136264,0.381150713407442,5341,2283,346,1030,0.55,0.44999999999999996
