model,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_roc_auc,test_pr_auc
random_forest,0.7582222222222222,0.3443579766536965,0.6431686046511628,0.4485554992397364,0.33635786875106194,0.7900378947906245,0.3820999843398426
xgboost,0.7018888888888889,0.3095307490527543,0.7718023255813954,0.4418556272103183,0.3416421376756856,0.7988147797499938,0.3931796103222596
lightgbm,0.6942222222222222,0.3052095130237826,0.7834302325581395,0.4392828035859821,0.3401705042179514,0.7978085955611411,0.3881386868961207
