model,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_roc_auc,test_pr_auc
random_forest,0.7521111111111111,0.3347506764592192,0.6293604651162791,0.4370426444612667,0.32095999062001607,0.7879609925968178,0.37903709926321
xgboost,0.7012222222222222,0.30719530102790016,0.7601744186046512,0.43756536289479186,0.33449092131598374,0.7989093880402157,0.39966615357806007
lightgbm,0.6927777777777778,0.30364715860899066,0.7805232558139535,0.43720740891512316,0.3370737422317824,0.7999643300531981,0.4013842930771912
