n_components,explained_variance_ratio,explained_variance_percent,reconstruction_mse,fit_seconds,compression_ratio,status
256,0.9834340810775757,98.34340810775757,0.00011350977001711726,4.90980750000017,3.0,ok
384,0.9942802786827087,99.42802786827087,3.919231676263735e-05,7.989571100000376,2.0,ok
512,0.9979779124259949,99.79779124259949,1.3858558304491453e-05,9.494638699999996,1.5,ok
768,0.9999997019767761,99.99997019767761,1.7737313354193596e-12,17.6330367999999,1.0,ok
