accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,tn,fp,fn,tp,k,model,selection
0.7435,0.5689655172413793,0.6039933444259568,0.585956416464891,0.791283053381367,0.5933190208794887,0.40076907217226676,1124,275,238,363,15,xgb,rf_pca_importance
0.739,0.5608628659476117,0.6056572379367721,0.5824,0.7894003204095152,0.5999111224622604,0.39360229288934484,1114,285,237,364,10,xgb,rf_pca_importance
0.7315,0.5521172638436482,0.5640599001663894,0.5580246913580247,0.7706931145255882,0.5526408422495451,0.3652808529524123,1124,275,262,339,20,xgb,rf_pca_importance
0.731,0.5549738219895288,0.5291181364392679,0.5417376490630323,0.7647618515245618,0.5503240715250214,0.35171617337685934,1144,255,283,318,25,xgb,rf_pca_importance
0.691,0.4757834757834758,0.2778702163061564,0.35084033613445376,0.732101251309766,0.4635332628080143,0.1763876236465569,1215,184,434,167,100,xgb,rf_pca_importance
0.696,0.491566265060241,0.33943427620632277,0.4015748031496063,0.7320465414445071,0.4773760469086019,0.2132442510484625,1188,211,397,204,50,xgb,rf_pca_importance
