model,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_mcc,validation_roc_auc,validation_pr_auc,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_roc_auc,test_pr_auc
random_forest,0.7628361858190709,0.47149122807017546,0.20653218059558118,0.28724114896459585,0.19121086147919986,0.7230365664215961,0.40970150935379474,0.814,0.3306818181818182,0.21148255813953487,0.2579787234042553,0.16263711264121505,0.6986998104211914,0.26694415374774416
xgboost,0.6988219604356524,0.39877498388136684,0.5941402497598463,0.47723765432098764,0.2879057932162632,0.7380484643775255,0.4164895343585532,0.6744444444444444,0.2583955223880597,0.6039244186046512,0.36193379790940766,0.2186077188151032,0.7133712446466484,0.27826295156200487
