model,accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,tn,fp,fn,tp
JIT Only,0.737,0.550744248985115,0.6772046589018302,0.6074626865671642,0.8029392280438012,0.6222529884581633,0.4178425697899776,1067,332,194,407
PCA Only,0.651,0.41594454072790293,0.39933444259567386,0.4074702886247878,0.6533000158182871,0.3858897384441631,0.1603403249009429,1062,337,361,240
Early Fusion,0.6915,0.4708029197080292,0.2146422628951747,0.2948571428571429,0.6867099033181533,0.43094816651438306,0.14799971592459785,1254,145,472,129
Top-25 Fusion,0.735,0.5582922824302134,0.5657237936772047,0.5619834710743802,0.7817123949957124,0.5813510890892102,0.3720479324424479,1130,269,261,340
Stacking Ensemble,0.707,0.7027027027027027,0.04326123128119801,0.08150470219435736,0.8040316413316382,0.6126991091482881,0.12043968175288736,1388,11,575,26
